Date,DHIAv,DHIMax,DNIAv,DNIMax,GHIAv,GHIMax,CDHIAv,CDHIMax,CDNIAv,CDNIMax,CGHIAv,CGHIMax,DPMin,DPAv,DPMax,WSMin,WSAv,WSMax,RainMin,RainAv,RainMax,RHMin,RHAv,RHMax,TMin,TAv,TMax,PMin,PAv,PMax,year,month,day,Weekday,Weekend,Festive,Q
2013-03-06,75.875,346,279.6666666666667,954,250.75,936,47.375,124,366.5,954,276.0,936,-7.0,-4.541666666666667,-2.0,0.3,2.0833333333333326,4.4,1.0290000000000001,1.1273749999999998,1.354,15.37,33.032916666666665,53.06,8.0,15.041666666666666,23.0,950,959.5833333333334,960,2013,3,6,1,0,0,11041.0
2013-03-07,105.20833333333333,400,200.66666666666666,643,228.16666666666666,808,69.58333333333333,197,295.4166666666667,818,259.9166666666667,890,-2.0,4.5,11.0,0.2,2.558333333333333,5.3,1.4409999999999998,2.1165000000000003,2.78,20.49,51.462500000000006,92.48,10.0,19.458333333333332,31.0,950,950.0,950,2013,3,7,1,0,0,10747.0
2013-03-08,114.04166666666667,422,75.125,478,165.45833333333334,748,52.291666666666664,144,340.0416666666667,884,266.0416666666667,901,5.0,8.958333333333334,12.0,0.7,2.2833333333333337,4.0,2.327,2.73625,3.1460000000000004,22.61,58.445833333333326,94.93,15.0,22.75,32.0,950,950.0,950,2013,3,8,1,0,0,10784.0
2013-03-09,56.125,369,318.0,1001,257.7916666666667,943,34.166666666666664,88,403.5,1002,283.75,952,0.0,5.0,10.0,0.9,1.716666666666667,3.1,1.012,1.7327916666666667,2.522,12.83,39.865416666666675,69.38,17.0,24.833333333333332,36.0,940,945.4166666666666,950,2013,3,9,0,1,0,11702.0
2013-03-10,39.291666666666664,102,400.875,1002,289.2916666666667,970,39.291666666666664,102,400.875,1002,289.2916666666667,970,-7.0,-4.666666666666667,2.0,1.0,3.7083333333333335,6.2,0.853,1.0307083333333333,1.29,11.73,24.177083333333332,39.37,12.0,19.375,27.0,940,948.3333333333334,950,2013,3,10,0,1,0,11846.0
2013-03-11,45.166666666666664,136,378.75,998,286.8333333333333,976,42.291666666666664,110,399.4583333333333,998,292.125,976,-10.0,-7.708333333333333,-5.0,0.9,2.454166666666666,4.4,0.614,0.8184166666666665,1.224,11.76,25.355000000000004,43.61,8.0,15.5,24.0,950,952.5,960,2013,3,11,1,0,0,10576.0
2013-03-12,102.29166666666667,395,222.91666666666666,695,237.75,813,44.125,116,399.5833333333333,995,295.2916666666667,985,-8.0,-5.625,0.0,0.9,2.0,4.3,0.47100000000000003,0.6536666666666667,0.8420000000000001,9.74,23.724166666666665,43.92,12.0,19.125,29.0,950,953.3333333333334,960,2013,3,12,1,0,0,10418.0
2013-03-13,80.91666666666667,333,265.7916666666667,971,258.75,977,49.083333333333336,125,378.6666666666667,971,291.75,977,-2.0,-0.20833333333333334,4.0,0.9,2.695833333333333,5.1,0.688,0.8419166666666666,1.105,16.9,35.88583333333333,67.41,13.0,18.833333333333332,27.0,960,960.0,960,2013,3,13,1,0,0,10424.0
2013-03-14,103.41666666666667,395,213.79166666666666,745,238.625,839,52.625,142,365.6666666666667,946,288.5,967,-1.0,2.4583333333333335,5.0,0.8,3.0041666666666664,5.8,0.971,1.0795833333333333,1.19,16.72,50.734583333333326,90.51,10.0,18.416666666666668,29.0,960,960.0,960,2013,3,14,1,0,0,10452.0
2013-03-15,52.583333333333336,134,342.625,943,284.5,967,51.0,134,370.5833333333333,943,290.0,967,0.0,2.7083333333333335,6.0,0.7,2.3166666666666664,5.2,1.045,1.1447083333333334,1.281,17.12,48.263749999999995,85.68,11.0,19.458333333333332,30.0,950,954.5833333333334,960,2013,3,15,1,0,0,10686.0
